60 6
apart 0 2
apart 0 8
apart 0 17
apart 0 23
apart 0 24
apart 0 25
apart 0 29
apart 0 30
apart 0 33
apart 0 36
apart 0 39
apart 0 41
apart 0 42
apart 0 44
apart 0 45
apart 0 49
apart 0 55
apart 1 10
apart 1 11
apart 1 20
apart 1 21
apart 1 23
apart 1 24
apart 1 25
apart 1 31
apart 1 33
apart 1 34
apart 1 38
apart 1 39
apart 1 48
apart 1 54
apart 2 6
apart 2 10
apart 2 13
apart 2 18
apart 2 29
apart 2 30
apart 2 35
apart 2 38
apart 2 40
apart 2 44
apart 2 53
apart 2 54
apart 2 59
apart 3 6
apart 3 7
apart 3 20
apart 3 25
apart 3 29
apart 3 35
apart 3 42
apart 3 45
apart 3 46
apart 3 51
apart 3 58
apart 4 6
apart 4 8
apart 4 16
apart 4 18
apart 4 26
apart 4 27
apart 4 28
apart 4 35
apart 4 37
apart 4 38
apart 4 43
apart 4 50
apart 4 54
apart 4 58
apart 5 8
apart 5 26
apart 5 32
apart 5 35
apart 5 36
apart 5 37
apart 5 39
apart 5 44
apart 5 52
apart 5 54
apart 5 55
apart 5 56
apart 6 9
together 6 17
apart 6 19
apart 6 22
apart 6 23
apart 6 26
apart 6 28
apart 6 30
apart 6 41
apart 6 43
apart 6 44
apart 6 45
apart 7 10
apart 7 11
apart 7 16
apart 7 17
apart 7 18
apart 7 20
apart 7 21
apart 7 25
apart 7 27
apart 7 29
apart 7 40
apart 7 48
apart 7 49
apart 7 53
apart 7 55
apart 8 12
apart 8 13
apart 8 15
apart 8 17
together 8 21
apart 8 37
apart 8 39
apart 8 43
apart 8 51
apart 8 54
apart 9 10
apart 9 14
apart 9 15
apart 9 16
apart 9 17
apart 9 22
apart 9 24
apart 9 26
apart 9 33
apart 9 43
apart 9 44
apart 9 46
apart 9 53
apart 9 59
apart 10 12
apart 10 26
apart 10 29
together 10 33
apart 10 34
apart 10 36
apart 10 44
apart 10 57
apart 11 14
apart 11 16
apart 11 18
apart 11 19
apart 11 23
apart 11 31
apart 11 33
apart 11 37
apart 11 39
apart 11 47
apart 11 49
apart 11 54
apart 12 26
apart 12 34
apart 12 43
apart 12 44
apart 12 47
apart 12 50
apart 12 52
apart 12 59
apart 13 16
apart 13 18
apart 13 22
apart 13 24
apart 13 29
apart 13 32
apart 13 34
apart 13 43
apart 13 49
apart 13 51
apart 13 53
apart 13 57
apart 13 59
apart 14 17
apart 14 19
apart 14 22
apart 14 26
apart 14 28
apart 14 30
apart 14 33
apart 14 34
apart 14 37
apart 14 38
apart 14 47
apart 14 48
apart 14 52
apart 14 53
apart 15 22
apart 15 25
apart 15 26
apart 15 27
apart 15 30
apart 15 31
apart 15 36
apart 15 37
apart 15 38
apart 15 39
apart 15 41
apart 15 46
apart 15 48
apart 15 49
apart 15 54
apart 15 56
apart 16 17
apart 16 21
apart 16 27
apart 16 33
