60 6
apart 0 2
together 0 3
apart 0 6
apart 0 10
apart 0 11
apart 0 18
apart 0 19
apart 0 27
apart 0 28
apart 0 30
apart 0 35
apart 0 36
apart 0 37
apart 0 40
apart 0 54
together 0 58
apart 1 2
apart 1 6
apart 1 18
apart 1 35
apart 1 36
apart 1 37
apart 1 42
apart 1 45
apart 1 54
apart 1 56
apart 2 3
apart 2 6
apart 2 9
apart 2 11
apart 2 16
apart 2 18
apart 2 20
apart 2 29
apart 2 56
apart 3 5
apart 3 15
apart 3 17
apart 3 19
apart 3 22
apart 3 23
apart 3 25
apart 3 27
apart 3 29
apart 3 33
apart 3 36
apart 3 43
apart 3 45
apart 3 48
apart 3 49
apart 3 51
apart 3 52
apart 3 54
apart 3 56
apart 4 6
apart 4 19
apart 4 27
apart 4 31
apart 4 38
apart 4 40
apart 4 41
apart 4 47
apart 4 51
apart 4 54
apart 4 56
apart 5 8
apart 5 12
apart 5 14
apart 5 18
apart 5 20
apart 5 26
apart 5 28
apart 5 30
apart 5 36
apart 5 38
apart 5 40
apart 5 41
apart 5 43
apart 5 44
apart 5 45
apart 5 46
apart 5 53
apart 5 55
apart 5 57
apart 6 8
apart 6 17
apart 6 19
apart 6 23
apart 6 31
apart 6 32
apart 6 33
apart 6 35
apart 6 37
apart 6 43
apart 6 44
apart 6 51
apart 6 57
apart 7 8
together 7 9
apart 7 10
apart 7 16
apart 7 17
apart 7 25
apart 7 37
apart 7 39
apart 7 48
apart 7 56
apart 7 59
apart 8 18
apart 8 30
apart 8 36
apart 8 41
apart 8 43
together 8 44
apart 8 57
apart 9 14
apart 9 16
apart 9 20
apart 9 22
apart 9 31
apart 9 34
apart 9 38
apart 9 40
apart 9 44
apart 9 46
apart 9 47
apart 9 53
apart 9 58
apart 10 23
apart 10 25
apart 10 26
apart 10 27
apart 10 31
apart 10 32
apart 10 40
apart 10 44
apart 10 48
apart 10 52
apart 10 54
apart 10 57
apart 11 18
apart 11 24
apart 11 25
apart 11 28
apart 11 29
apart 11 31
apart 11 33
apart 11 35
apart 11 36
apart 11 45
apart 11 47
apart 11 49
apart 11 51
apart 11 53
apart 11 54
apart 11 55
apart 11 56
apart 12 13
apart 12 14
apart 12 18
apart 12 19
apart 12 23
apart 12 27
apart 12 35
apart 12 38
apart 12 44
apart 12 46
apart 12 51
apart 12 53
apart 13 14
apart 13 19
apart 13 30
apart 13 37
apart 13 39
apart 13 45
apart 13 49
apart 13 51
apart 13 57
apart 13 59
apart 14 16
apart 14 19
apart 14 24
apart 14 29
apart 14 30
apart 14 32
apart 14 36
apart 14 41
apart 14 42
apart 14 53
apart 14 57
apart 14 58
apart 15 16
apart 15 21
apart 15 25
apart 15 29
apart 15 32
apart 15 34
apart 15 38
apart 15 49
apart 15 51
apart 16 18
apart 16 25
apart 16 27
apart 16 30
apart 16 41
apart 16 42
apart 16 43
apart 16 45
apart 16 48
apart 16 49
apart 16 52
apart 16 54
apart 16 56
apart 16 58
apart 16 59
apart 17 24
apart 17 25
apart 17 27
apart 17 33
apart 17 51
apart 17 58
apart 18 27
apart 18 32
apart 18 35
apart 18 36
apart 18 38
apart 18 40
apart 18 44
apart 18 52
apart 18 53
apart 19 20
apart 19 35
apart 19 36
apart 19 38
apart 19 48
apart 19 49
apart 19 53
apart 19 56
apart 20 26
apart 20 29
apart 20 31
apart 20 33
apart 20 44
apart 20 46
apart 20 50
apart 20 53
apart 20 55
apart 21 24
apart 21 25
apart 21 27
apart 21 31
apart 21 32
apart 21 34
apart 21 48
apart 21 49
apart 21 50
apart 21 53
apart 21 55
apart 22 30
apart 22 48
apart 22 51
apart 22 52
apart 22 54
apart 23 24
apart 23 27
apart 23 29
apart 23 34
apart 23 40
apart 23 42
apart 23 46
apart 23 49
apart 23 53
apart 23 54
apart 23 56
apart 24 32
apart 24 36
apart 24 37
apart 24 48
apart 24 49
apart 24 55
apart 24 59
apart 25 31
apart 25 35
apart 25 39
apart 25 47
apart 25 51
apart 25 53
apart 25 58
apart 26 28
apart 26 30
apart 26 31
apart 26 43
apart 26 46
apart 26 48
apart 26 50
apart 26 56
apart 26 58
apart 26 59
apart 27 33
apart 27 48
apart 27 56
apart 27 57
apart 28 29
apart 28 30
