200 40
together 0 113
together 1 145
together 1 186
together 2 9
together 5 80
together 5 182
together 7 152
together 8 35
together 8 182
together 9 177
together 15 156
together 21 34
together 33 179
together 37 61
together 48 144
together 49 89
together 52 129
together 71 194
together 77 78
together 77 185
together 87 175
together 88 144
together 89 96
together 89 134
together 90 93
together 98 100
together 102 145
together 112 176
together 122 170
together 124 153
together 126 155
together 132 198
together 141 164
together 144 197
together 150 188
together 154 196
apart 2 156
apart 3 55
apart 3 60
apart 8 31
apart 8 49
apart 9 45
apart 14 35
apart 14 126
apart 17 135
apart 19 145
apart 19 181
apart 22 152
apart 24 27
apart 24 103
apart 28 33
apart 34 90
apart 36 85
apart 36 103
apart 36 130
apart 37 146
apart 38 112
apart 42 121
apart 43 198
apart 48 103
apart 53 93
apart 55 169
apart 59 77
apart 60 72
apart 60 153
apart 61 117
apart 64 123
apart 65 130
apart 68 189
apart 76 114
apart 79 108
apart 83 124
apart 87 160
apart 87 181
apart 91 155
apart 97 197
apart 99 161
apart 101 161
apart 101 195
apart 102 135
apart 103 139
apart 112 188
apart 114 174
apart 115 147
apart 118 197
apart 120 136
apart 120 177
apart 123 154
apart 126 154
apart 127 133
apart 133 156
apart 136 173
apart 145 175
apart 145 180
apart 170 188
apart 177 181
