200 50
together 5 96
together 7 37
together 11 59
together 13 106
together 23 94
together 56 162
together 68 128
together 78 165
together 93 117
together 96 113
together 110 175
together 112 163
together 121 185
together 136 138
together 143 164
apart 2 165
apart 3 184
apart 4 24
apart 5 185
apart 6 25
apart 6 115
apart 7 115
apart 10 71
apart 12 27
apart 13 56
apart 14 175
apart 16 89
apart 18 35
apart 20 22
apart 20 48
apart 23 194
apart 27 151
apart 30 188
apart 32 197
apart 33 164
apart 34 177
apart 39 75
apart 41 118
apart 41 172
apart 42 74
apart 43 128
apart 43 149
apart 46 105
apart 48 174
apart 49 63
apart 50 91
apart 51 139
apart 54 143
apart 54 189
apart 57 174
apart 57 177
apart 59 154
apart 59 158
apart 59 176
apart 60 102
apart 61 80
apart 72 178
apart 73 182
apart 75 107
apart 76 120
apart 76 193
apart 77 192
apart 82 184
apart 84 123
apart 84 144
apart 87 116
apart 90 134
apart 94 153
apart 98 190
apart 101 132
apart 102 141
apart 114 130
apart 121 124
apart 126 178
apart 132 149
apart 133 196
apart 139 197
apart 160 164
