400 50
together 2 243
together 4 199
together 5 93
together 10 103
together 11 114
together 11 124
together 12 161
together 12 370
together 14 287
together 18 235
together 19 201
together 19 305
together 28 156
together 29 241
together 33 164
together 36 232
together 39 285
together 39 323
together 40 188
together 45 203
together 46 146
together 46 158
together 47 229
together 49 137
together 58 187
together 61 77
together 64 143
together 67 153
together 70 198
together 71 110
together 83 262
together 85 89
together 86 393
together 98 306
together 99 381
together 100 116
together 104 289
together 110 171
together 116 147
together 116 150
together 119 215
together 119 368
together 123 323
together 126 391
together 129 185
together 130 163
together 130 189
together 139 177
together 139 280
together 145 328
together 145 338
together 147 193
together 147 366
together 152 267
together 155 280
together 161 246
together 163 212
together 176 320
together 177 243
together 178 389
together 181 208
together 185 246
together 186 196
together 190 239
together 190 380
together 204 215
together 210 315
together 219 223
together 220 339
together 224 292
together 225 270
together 225 348
together 227 360
together 234 242
together 235 238
together 238 302
together 240 318
together 245 396
together 246 274
together 252 340
together 253 304
together 266 377
together 278 380
together 286 340
together 287 293
together 291 396
together 297 329
together 298 328
together 307 346
together 318 332
together 332 345
together 332 346
together 338 399
together 359 398
apart 1 41
apart 3 79
apart 3 175
apart 13 349
apart 16 68
apart 17 155
apart 21 253
apart 23 330
apart 26 182
apart 28 384
apart 35 105
apart 37 108
apart 40 63
apart 41 323
apart 42 60
apart 42 121
apart 42 142
apart 42 319
apart 45 286
apart 48 356
apart 51 108
apart 66 317
apart 67 135
apart 68 319
apart 70 169
apart 72 110
apart 76 223
apart 78 92
apart 85 121
apart 99 386
apart 101 143
apart 111 235
apart 117 386
apart 118 151
apart 119 336
apart 122 263
apart 126 226
apart 127 169
apart 129 373
apart 135 177
apart 137 210
apart 139 169
apart 141 253
apart 147 172
apart 148 159
apart 151 340
apart 157 242
apart 160 198
apart 160 267
apart 161 233
apart 162 185
apart 162 320
apart 170 230
apart 173 283
apart 179 231
apart 183 390
apart 185 337
apart 191 257
apart 197 231
apart 198 293
apart 207 381
apart 209 320
apart 219 247
apart 225 333
apart 227 342
apart 242 344
apart 249 253
apart 252 380
apart 255 272
apart 257 333
apart 260 324
apart 267 336
apart 271 336
apart 280 397
apart 286 304
apart 287 380
apart 295 396
apart 306 343
apart 352 359
apart 387 398
