300 30
together 8 189
together 8 275
together 9 210
together 11 103
together 23 249
together 36 93
together 37 233
together 40 171
together 42 263
together 42 278
together 45 176
together 51 104
together 53 273
together 56 77
together 74 109
together 78 249
together 83 143
together 87 250
together 91 176
together 93 100
together 108 248
together 118 229
together 119 130
together 134 225
together 137 277
together 140 154
together 152 265
together 181 260
together 218 240
together 227 255
together 248 279
together 271 273
apart 1 222
apart 1 264
apart 4 62
apart 4 280
apart 5 187
apart 6 269
apart 8 69
apart 8 180
apart 9 49
apart 10 31
apart 10 264
apart 11 134
apart 13 229
apart 14 70
apart 16 280
apart 17 297
apart 18 167
apart 27 86
apart 27 234
apart 28 194
apart 28 272
apart 29 235
apart 30 80
apart 31 142
apart 32 111
apart 32 163
apart 32 265
apart 36 109
apart 38 233
apart 38 254
apart 38 263
apart 39 111
apart 40 236
apart 40 298
apart 41 294
apart 44 241
apart 45 113
apart 45 251
apart 47 215
apart 48 105
apart 49 109
apart 50 145
apart 51 71
apart 52 288
apart 53 295
apart 56 225
apart 61 142
apart 62 152
apart 62 232
apart 63 191
apart 63 269
apart 66 198
apart 67 90
apart 67 95
apart 68 238
apart 69 176
apart 69 187
apart 70 107
apart 76 196
apart 82 235
apart 85 186
apart 89 104
apart 89 235
apart 89 269
apart 90 167
apart 91 195
apart 92 257
apart 93 213
apart 94 147
apart 96 102
apart 97 108
apart 100 256
apart 102 175
apart 103 116
apart 103 162
apart 104 167
apart 105 146
apart 105 236
apart 105 297
apart 108 260
apart 111 165
apart 115 206
apart 122 146
apart 123 213
apart 125 150
apart 125 181
apart 125 203
apart 129 156
apart 130 235
apart 134 190
apart 144 149
apart 146 268
apart 150 173
apart 152 159
apart 155 251
apart 157 201
apart 157 275
apart 162 186
apart 162 268
apart 166 211
apart 180 200
apart 182 214
apart 184 258
apart 186 188
apart 190 274
apart 194 254
apart 194 287
apart 202 262
apart 202 279
apart 203 221
apart 204 224
apart 205 236
apart 207 217
apart 208 278
apart 210 227
apart 212 272
apart 216 231
apart 234 252
apart 239 266
apart 242 280
apart 243 266
apart 244 272
apart 255 267
apart 255 285
apart 255 286
apart 270 275
apart 272 277
