100 20
together 0 7
together 1 78
together 2 71
together 3 10
together 3 78
together 5 65
together 7 52
together 7 72
together 8 51
together 20 88
together 23 39
together 25 62
together 26 37
together 27 89
together 31 39
together 36 96
together 39 89
together 40 98
together 44 96
together 47 86
together 53 65
together 53 91
together 63 75
together 66 96
together 68 90
together 96 97
apart 1 84
apart 6 41
apart 11 30
apart 16 19
apart 22 29
apart 26 45
apart 34 64
apart 40 70
apart 48 59
apart 48 99
apart 49 87
apart 52 99
apart 57 77
apart 64 87
apart 65 77
apart 68 73
apart 71 85
apart 73 77
