50 5
together 0 23
together 0 40
together 1 2
together 1 42
together 3 21
together 4 33
together 5 42
together 7 31
together 9 45
together 10 18
together 15 45
together 17 19
together 17 30
together 18 34
together 18 43
together 19 27
together 21 24
together 22 26
together 23 24
together 23 41
together 24 39
together 30 34
together 31 33
together 33 36
together 37 42
together 38 47
together 39 40
together 39 48
together 40 44
together 42 47
together 47 49
apart 0 15
apart 2 30
apart 3 29
apart 3 36
apart 5 24
apart 5 46
apart 7 37
apart 8 46
apart 11 13
apart 12 38
apart 13 36
apart 15 22
apart 16 21
apart 17 28
apart 17 43
apart 18 34
apart 19 32
apart 19 43
apart 22 33
apart 25 28
apart 25 36
apart 25 40
apart 28 45
apart 35 47
